"","AminoAcid","ATP","k_cat_AA","k_a_NH4","k_a","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a","k_ribo_AA","k_ribo_a_AA","k_ribo_AA_a"
"41",9.25621956497678e-05,3873400.43974711,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1000.0","1.0"
"42",9.25665321251049e-05,3873580.59415526,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1000.0","10.0"
"43",9.26096002438243e-05,3875369.86907788,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1000.0","100.0"
"44",9.30135210103046e-05,3892148.10628699,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1000.0","1000.0"
"45",-100000000.007144,138528492.888108,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","0.1","0.1"
"46",-91797921.9077058,-4.37973339483451,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","0.1","1.0"
"47",9.20014536511763e-09,3850096.54200183,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","0.1","10.0"
"48",-100000000.007144,138528659.772133,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","0.1","100.0"
"49",-100000000.007144,138530163.217017,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","0.1","1000.0"
"50",-99927630.3357506,-0.100006055454452,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1.0","0.1"
"51",-100000000.007144,138528492.308848,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1.0","1.0"
"52",9.20023533300281e-08,3850133.99340513,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1.0","10.0"
"53",9.20754637189195e-08,3853173.62093167,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1.0","100.0"
"54",9.25573275651691e-08,3873197.30636799,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1.0","1000.0"
"55",9.20014782113687e-07,3850097.56045912,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","10.0","0.1"
"56",9.20023752768092e-07,3850134.86541615,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","10.0","1.0"
"57",9.20110278326473e-07,3850494.68572819,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","10.0","10.0"
"58",9.20817722859778e-07,3853435.93482803,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","10.0","100.0"
"59",9.25616741749563e-07,3873377.94010833,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","10.0","1000.0"
"60",9.20749800013063e-06,3853153.63886843,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","100.0","0.1"
"61",9.20756159055735e-06,3853180.08937277,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","100.0","1.0"
"62",9.20819111093078e-06,3853441.71943246,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","100.0","10.0"
"63",9.21402209260568e-06,3855865.51148316,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","100.0","100.0"
"64",9.26048821878998e-06,3875173.04677361,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","100.0","1000.0"
"65",9.25617616989573e-05,3873382.41188779,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1000.0","0.1"
"66",9.25621956497678e-05,3873400.43974711,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1000.0","1.0"
"67",9.25665321251049e-05,3873580.59415526,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1000.0","10.0"
"68",9.26096002438243e-05,3875369.86907788,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1000.0","100.0"
"69",9.30135210103046e-05,3892148.10628699,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1000.0","1000.0"
"70",-100000000.007144,138528492.888108,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","0.1","0.1"
"71",-91797921.9077058,-4.37973339483451,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","0.1","1.0"
"72",9.20014536511763e-09,3850096.54200183,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","0.1","10.0"
"73",-100000000.007144,138528659.772133,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","0.1","100.0"
"74",-100000000.007144,138530163.217017,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","0.1","1000.0"
"75",-99927630.3357506,-0.100006055454452,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1.0","0.1"
"76",-100000000.007144,138528492.308848,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1.0","1.0"
"77",9.20023533300281e-08,3850133.99340513,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1.0","10.0"
"78",9.20754637189195e-08,3853173.62093167,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1.0","100.0"
"79",9.25573275651691e-08,3873197.30636799,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1.0","1000.0"
"80",9.20014782113687e-07,3850097.56045912,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","10.0","0.1"
"81",9.20023752768092e-07,3850134.86541615,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","10.0","1.0"
"82",9.20110278326473e-07,3850494.68572819,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","10.0","10.0"
"83",9.20817722859778e-07,3853435.93482803,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","10.0","100.0"
"84",9.25616741749563e-07,3873377.94010833,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","10.0","1000.0"
"85",9.20749800013063e-06,3853153.63886843,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","100.0","0.1"
"86",9.20756159055735e-06,3853180.08937277,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","100.0","1.0"
"87",9.20819111093078e-06,3853441.71943246,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","100.0","10.0"
"88",9.21402209260568e-06,3855865.51148316,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","100.0","100.0"
"89",9.26048821878998e-06,3875173.04677361,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","100.0","1000.0"
"90",9.25617616989573e-05,3873382.41188779,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1000.0","0.1"
"91",9.25621956497678e-05,3873400.43974711,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1000.0","1.0"
"92",9.25665321251049e-05,3873580.59415526,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1000.0","10.0"
"93",9.26096002438243e-05,3875369.86907788,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1000.0","100.0"
"94",9.30135210103046e-05,3892148.10628699,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1000.0","1000.0"
"95",-100000000.007144,138528492.888108,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","0.1","0.1"
"96",-91797921.9077058,-4.37973339483451,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","0.1","1.0"
"97",9.20014536511763e-09,3850096.54200183,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","0.1","10.0"
"98",-100000000.007144,138528659.772133,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","0.1","100.0"
"99",-100000000.007144,138530163.217017,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","0.1","1000.0"
"100",-99927630.3357506,-0.100006055454452,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1.0","0.1"
"101",-100000000.007144,138528492.308848,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1.0","1.0"
"102",9.20023533300281e-08,3850133.99340513,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1.0","10.0"
"103",9.20754637189195e-08,3853173.62093167,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1.0","100.0"
"104",9.25573275651691e-08,3873197.30636799,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1.0","1000.0"
"105",9.20014782113687e-07,3850097.56045912,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","10.0","0.1"
"106",9.20023752768092e-07,3850134.86541615,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","10.0","1.0"
"107",9.20110278326473e-07,3850494.68572819,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","10.0","10.0"
"108",9.20817722859778e-07,3853435.93482803,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","10.0","100.0"
"109",9.25616741749563e-07,3873377.94010833,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","10.0","1000.0"
"110",9.20749800013063e-06,3853153.63886843,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","100.0","0.1"
"111",9.20756159055735e-06,3853180.08937277,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","100.0","1.0"
"112",9.20819111093078e-06,3853441.71943246,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","100.0","10.0"
"113",9.21402209260568e-06,3855865.51148316,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","100.0","100.0"
"114",9.26048821878998e-06,3875173.04677361,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","100.0","1000.0"
"115",9.25617616989573e-05,3873382.41188779,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1000.0","0.1"
"116",9.25621956497678e-05,3873400.43974711,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1000.0","1.0"
"117",9.25665321251049e-05,3873580.59415526,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1000.0","10.0"
"118",9.26096002438243e-05,3875369.86907788,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1000.0","100.0"
"119",9.30135210103046e-05,3892148.10628699,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1000.0","1000.0"
"120",-100000000.007144,138528492.888115,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","0.1","0.1"
"121",-100000000.007144,138528494.391564,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","0.1","1.0"
"122",9.20014770356951e-09,3850096.62375979,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","0.1","10.0"
"123",-100000000.007144,138528659.772137,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","0.1","100.0"
"124",-100000000.007144,138530163.217022,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","0.1","1000.0"
"125",-100000000.007144,138528490.805395,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1.0","0.1"
"126",-100000000.007144,138528492.308844,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1.0","1.0"
"127",9.20023902510637e-08,3850134.60467859,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1.0","10.0"
"128",9.20754959255267e-08,3853174.09890269,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1.0","100.0"
"129",9.25573555187899e-08,3873197.58156899,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1.0","1000.0"
"130",9.20016802096668e-07,3850105.09865672,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","10.0","0.1"
"131",9.20025733929092e-07,3850142.24988036,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","10.0","1.0"
"132",9.20111919418474e-07,3850500.66315785,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","10.0","10.0"
"133",9.2081896928189e-07,3853440.20517243,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","10.0","100.0"
"134",9.25617610854807e-07,3873380.65153466,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","10.0","1000.0"
"135",9.2075996234471e-06,3853194.95940407,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","100.0","0.1"
"136",9.20766298984772e-06,3853221.29740078,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","100.0","1.0"
"137",9.20829168409267e-06,3853482.67595041,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","100.0","10.0"
"138",9.21411686890536e-06,3855903.96881288,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","100.0","100.0"
"139",9.26055309385456e-06,3875199.15198814,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","100.0","1000.0"
"140",9.25681210164562e-05,3873645.92961806,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1000.0","0.1"
"141",9.25685529806968e-05,3873663.89151297,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1000.0","1.0"
"142",9.25728686339192e-05,3873843.19968028,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1000.0","10.0"
"143",9.26157351532455e-05,3875624.10285973,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1000.0","100.0"
"144",9.30181184833939e-05,3892338.37120836,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1000.0","1000.0"
"145",-100000000.007144,138528492.888115,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","0.1","0.1"
"146",-100000000.007144,138528494.391564,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","0.1","1.0"
"147",9.20014770356951e-09,3850096.62375979,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","0.1","10.0"
"148",-100000000.007144,138528659.772137,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","0.1","100.0"
"149",-100000000.007144,138530163.217022,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","0.1","1000.0"
"150",-100000000.007144,138528490.805395,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1.0","0.1"
"151",-100000000.007144,138528492.308844,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1.0","1.0"
"152",9.20023902510637e-08,3850134.60467859,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1.0","10.0"
"153",9.20754959255267e-08,3853174.09890269,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1.0","100.0"
"154",9.25573555187899e-08,3873197.58156899,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1.0","1000.0"
"155",9.20016802096668e-07,3850105.09865672,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","10.0","0.1"
"156",9.20025733929092e-07,3850142.24988036,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","10.0","1.0"
"157",9.20111919418474e-07,3850500.66315785,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","10.0","10.0"
"158",9.2081896928189e-07,3853440.20517243,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","10.0","100.0"
"159",9.25617610854807e-07,3873380.65153466,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","10.0","1000.0"
"160",9.2075996234471e-06,3853194.95940407,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","100.0","0.1"
"161",9.20766298984772e-06,3853221.29740078,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","100.0","1.0"
"162",9.20829168409267e-06,3853482.67595041,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","100.0","10.0"
"163",9.21411686890536e-06,3855903.96881288,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","100.0","100.0"
"164",9.26055309385456e-06,3875199.15198814,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","100.0","1000.0"
"165",9.25681210164562e-05,3873645.92961806,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1000.0","0.1"
"166",9.25685529806968e-05,3873663.89151297,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1000.0","1.0"
"167",9.25728686339192e-05,3873843.19968028,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1000.0","10.0"
"168",9.26157351532455e-05,3875624.10285973,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1000.0","100.0"
"169",9.30181184833939e-05,3892338.37120836,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1000.0","1000.0"
"170",-100000000.007144,138528492.888115,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","0.1","0.1"
"171",-100000000.007144,138528494.391564,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","0.1","1.0"
"172",9.20014770356951e-09,3850096.62375979,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","0.1","10.0"
"173",-100000000.007144,138528659.772137,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","0.1","100.0"
"174",-100000000.007144,138530163.217022,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","0.1","1000.0"
"175",-100000000.007144,138528490.805395,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1.0","0.1"
"176",-100000000.007144,138528492.308844,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1.0","1.0"
"177",9.20023902510637e-08,3850134.60467859,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1.0","10.0"
"178",9.20754959255267e-08,3853174.09890269,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1.0","100.0"
"179",9.25573555187899e-08,3873197.58156899,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1.0","1000.0"
"180",9.20016802096668e-07,3850105.09865672,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","10.0","0.1"
"181",9.20025733929092e-07,3850142.24988036,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","10.0","1.0"
"182",9.20111919418474e-07,3850500.66315785,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","10.0","10.0"
"183",9.2081896928189e-07,3853440.20517243,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","10.0","100.0"
"184",9.25617610854807e-07,3873380.65153466,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","10.0","1000.0"
"185",9.2075996234471e-06,3853194.95940407,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","100.0","0.1"
"186",9.20766298984772e-06,3853221.29740078,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","100.0","1.0"
"187",9.20829168409267e-06,3853482.67595041,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","100.0","10.0"
"188",9.21411686890536e-06,3855903.96881288,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","100.0","100.0"
"189",9.26055309385456e-06,3875199.15198814,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","100.0","1000.0"
"190",9.25681210164562e-05,3873645.92961806,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1000.0","0.1"
"191",9.25685529806968e-05,3873663.89151297,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1000.0","1.0"
"192",9.25728686339192e-05,3873843.19968028,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1000.0","10.0"
"193",9.26157351532455e-05,3875624.10285973,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1000.0","100.0"
"194",9.30181184833939e-05,3892338.37120836,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1000.0","1000.0"
"195",-100000000.007144,138528492.888115,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","0.1","0.1"
"196",-100000000.007144,138528494.391564,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","0.1","1.0"
"197",9.20014770356951e-09,3850096.62375979,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","0.1","10.0"
"198",-100000000.007144,138528659.772137,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","0.1","100.0"
"199",-100000000.007144,138530163.217022,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","0.1","1000.0"
"200",-100000000.007144,138528490.805395,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1.0","0.1"
"201",-100000000.007144,138528492.308844,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1.0","1.0"
"202",9.20023902510637e-08,3850134.60467859,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1.0","10.0"
"203",9.20754959255267e-08,3853174.09890269,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1.0","100.0"
"204",9.25573555187899e-08,3873197.58156899,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1.0","1000.0"
"205",9.20016802096668e-07,3850105.09865672,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","10.0","0.1"
"206",9.20025733929092e-07,3850142.24988036,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","10.0","1.0"
"207",9.20111919418474e-07,3850500.66315785,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","10.0","10.0"
"208",9.2081896928189e-07,3853440.20517243,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","10.0","100.0"
"209",9.25617610854807e-07,3873380.65153466,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","10.0","1000.0"
"210",9.2075996234471e-06,3853194.95940407,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","100.0","0.1"
"211",9.20766298984772e-06,3853221.29740078,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","100.0","1.0"
"212",9.20829168409267e-06,3853482.67595041,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","100.0","10.0"
"213",9.21411686890536e-06,3855903.96881288,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","100.0","100.0"
"214",9.26055309385456e-06,3875199.15198814,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","100.0","1000.0"
"215",9.25681210164562e-05,3873645.92961806,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1000.0","0.1"
"216",9.25685529806968e-05,3873663.89151297,"0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1000.0","1.0"
