"","AminoAcid","ATP","k_cat_AA","k_a_NH4","k_a","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a","k_ribo_AA","k_ribo_a_AA","k_ribo_AA_a"
"1",-100000000.007144,138528492.308848,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0"
"2",9.20023533300281e-08,3850133.99340513,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0"
"3",9.20754637189195e-08,3853173.62093167,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0"
"4",9.25573275651691e-08,3873197.30636799,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1000.0"
"5",9.20014782113687e-07,3850097.56045912,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","0.1"
"6",9.20023752768092e-07,3850134.86541615,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1.0"
"7",9.20110278326473e-07,3850494.68572819,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","10.0"
"8",9.20817722859778e-07,3853435.93482803,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","100.0"
"9",9.25616741749563e-07,3873377.94010833,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","10.0","1000.0"
"10",9.20749800013063e-06,3853153.63886843,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","0.1"
"11",9.20756159055735e-06,3853180.08937277,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1.0"
"12",9.20819111093078e-06,3853441.71943246,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","10.0"
"13",9.21402209260568e-06,3855865.51148316,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","100.0"
"14",9.26048821878998e-06,3875173.04677361,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","100.0","1000.0"
"15",9.25617616989573e-05,3873382.41188779,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","0.1"
"16",9.25621956497678e-05,3873400.43974711,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1.0"
"17",9.25665321251049e-05,3873580.59415526,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","10.0"
"18",9.26096002438243e-05,3875369.86907788,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","100.0"
"19",9.30135210103046e-05,3892148.10628699,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","1000.0","1000.0"
"20",-100000000.007144,138528492.888108,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","0.1"
"21",-91797921.9077058,-4.37973339483451,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1.0"
"22",9.20014536511763e-09,3850096.54200183,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","10.0"
"23",-100000000.007144,138528659.772133,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","100.0"
"24",-100000000.007144,138530163.217017,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","0.1","1000.0"
"25",-99927630.3357506,-0.100006055454452,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","0.1"
"26",-100000000.007144,138528492.308848,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1.0"
"27",9.20023533300281e-08,3850133.99340513,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","10.0"
"28",9.20754637189195e-08,3853173.62093167,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","100.0"
"29",9.25573275651691e-08,3873197.30636799,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1.0","1000.0"
"30",9.20014782113687e-07,3850097.56045912,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","0.1"
"31",9.20023752768092e-07,3850134.86541615,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1.0"
"32",9.20110278326473e-07,3850494.68572819,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","10.0"
"33",9.20817722859778e-07,3853435.93482803,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","100.0"
"34",9.25616741749563e-07,3873377.94010833,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","10.0","1000.0"
"35",9.20749800013063e-06,3853153.63886843,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","0.1"
"36",9.20756159055735e-06,3853180.08937277,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1.0"
"37",9.20819111093078e-06,3853441.71943246,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","10.0"
"38",9.21402209260568e-06,3855865.51148316,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","100.0"
"39",9.26048821878998e-06,3875173.04677361,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","100.0","1000.0"
"40",9.25617616989573e-05,3873382.41188779,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","1.0","1000.0","0.1"
