"","k_cat_AA","k_a_NH4","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a"
"34","10.0","0.1","10.0","0.1","10.0","0.1"
"35","10.0","0.1","10.0","0.1","10.0","10.0"
"36","10.0","0.1","10.0","0.1","10.0","1000.0"
"37","10.0","0.1","10.0","0.1","1000.0","0.1"
"38","10.0","0.1","10.0","0.1","1000.0","10.0"
"39","10.0","0.1","10.0","0.1","1000.0","1000.0"
"40","10.0","0.1","10.0","10.0","0.1","0.1"
"41","10.0","0.1","10.0","10.0","0.1","10.0"
"42","10.0","0.1","10.0","10.0","0.1","1000.0"
"43","10.0","0.1","10.0","10.0","10.0","0.1"
"44","10.0","0.1","10.0","10.0","10.0","10.0"
"45","10.0","0.1","10.0","10.0","10.0","1000.0"
"46","10.0","0.1","10.0","10.0","1000.0","0.1"
"47","10.0","0.1","10.0","10.0","1000.0","10.0"
"48","10.0","0.1","10.0","10.0","1000.0","1000.0"
"49","10.0","0.1","10.0","1000.0","0.1","0.1"
"50","10.0","0.1","10.0","1000.0","0.1","10.0"
"51","10.0","0.1","10.0","1000.0","0.1","1000.0"
"52","10.0","0.1","10.0","1000.0","10.0","0.1"
"53","10.0","0.1","10.0","1000.0","10.0","10.0"
"54","10.0","0.1","10.0","1000.0","10.0","1000.0"
"55","10.0","0.1","10.0","1000.0","1000.0","0.1"
"56","10.0","0.1","10.0","1000.0","1000.0","10.0"
"57","10.0","0.1","10.0","1000.0","1000.0","1000.0"
"58","10.0","0.1","1000.0","0.1","0.1","0.1"
"59","10.0","0.1","1000.0","0.1","0.1","10.0"
"60","10.0","0.1","1000.0","0.1","0.1","1000.0"
"61","10.0","0.1","1000.0","0.1","10.0","0.1"
"62","10.0","0.1","1000.0","0.1","10.0","10.0"
"63","10.0","0.1","1000.0","0.1","10.0","1000.0"
"64","10.0","0.1","1000.0","0.1","1000.0","0.1"
"65","10.0","0.1","1000.0","0.1","1000.0","10.0"
"66","10.0","0.1","1000.0","0.1","1000.0","1000.0"
"67","10.0","0.1","1000.0","10.0","0.1","0.1"
"68","10.0","0.1","1000.0","10.0","0.1","10.0"
"69","10.0","0.1","1000.0","10.0","0.1","1000.0"
"70","10.0","0.1","1000.0","10.0","10.0","0.1"
"71","10.0","0.1","1000.0","10.0","10.0","10.0"
"72","10.0","0.1","1000.0","10.0","10.0","1000.0"
"73","10.0","0.1","1000.0","10.0","1000.0","0.1"
"74","10.0","0.1","1000.0","10.0","1000.0","10.0"
"75","10.0","0.1","1000.0","10.0","1000.0","1000.0"
"76","10.0","0.1","1000.0","1000.0","0.1","0.1"
"77","10.0","0.1","1000.0","1000.0","0.1","10.0"
"78","10.0","0.1","1000.0","1000.0","0.1","1000.0"
"79","10.0","0.1","1000.0","1000.0","10.0","0.1"
"80","10.0","0.1","1000.0","1000.0","10.0","10.0"
"81","10.0","0.1","1000.0","1000.0","10.0","1000.0"
"82","10.0","0.1","1000.0","1000.0","1000.0","0.1"
"83","10.0","0.1","1000.0","1000.0","1000.0","10.0"
"84","10.0","0.1","1000.0","1000.0","1000.0","1000.0"
"85","10.0","10.0","1000.0","10.0","1000.0","0.1"
"86","10.0","10.0","1000.0","10.0","1000.0","10.0"
"87","10.0","10.0","1000.0","10.0","1000.0","1000.0"
"88","10.0","10.0","1000.0","1000.0","1000.0","0.1"
"89","10.0","10.0","1000.0","1000.0","1000.0","10.0"
"90","10.0","10.0","1000.0","1000.0","1000.0","1000.0"
"91","1000.0","0.1","0.1","0.1","0.1","0.1"
"92","1000.0","0.1","0.1","0.1","0.1","10.0"
"93","1000.0","0.1","0.1","0.1","0.1","1000.0"
"94","1000.0","0.1","0.1","0.1","10.0","0.1"
