"","k_cat_AA","k_a_NH4","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a"
"1","0.1","0.1","0.1","0.1","1000.0","0.1"
"2","0.1","0.1","0.1","0.1","1000.0","10.0"
"3","0.1","0.1","0.1","0.1","1000.0","1000.0"
"4","0.1","0.1","0.1","10.0","1000.0","0.1"
"5","0.1","0.1","0.1","10.0","1000.0","10.0"
"6","0.1","0.1","0.1","10.0","1000.0","1000.0"
"7","0.1","0.1","0.1","1000.0","1000.0","0.1"
"8","0.1","0.1","0.1","1000.0","1000.0","10.0"
"9","0.1","0.1","0.1","1000.0","1000.0","1000.0"
"10","0.1","0.1","10.0","0.1","10.0","0.1"
"11","0.1","0.1","10.0","0.1","10.0","10.0"
"12","0.1","0.1","10.0","0.1","10.0","1000.0"
"13","0.1","0.1","10.0","10.0","10.0","0.1"
"14","0.1","0.1","10.0","10.0","10.0","10.0"
"15","0.1","0.1","10.0","10.0","10.0","1000.0"
"16","0.1","0.1","10.0","1000.0","10.0","0.1"
"17","0.1","0.1","10.0","1000.0","10.0","10.0"
"18","0.1","0.1","10.0","1000.0","10.0","1000.0"
"19","0.1","0.1","1000.0","0.1","0.1","0.1"
"20","0.1","0.1","1000.0","0.1","0.1","10.0"
"21","0.1","0.1","1000.0","0.1","0.1","1000.0"
"22","0.1","0.1","1000.0","10.0","0.1","0.1"
"23","0.1","0.1","1000.0","10.0","0.1","10.0"
"24","0.1","0.1","1000.0","10.0","0.1","1000.0"
"25","0.1","0.1","1000.0","10.0","1000.0","0.1"
"26","0.1","0.1","1000.0","10.0","1000.0","10.0"
"27","0.1","0.1","1000.0","10.0","1000.0","1000.0"
"28","0.1","0.1","1000.0","1000.0","0.1","0.1"
"29","0.1","0.1","1000.0","1000.0","0.1","10.0"
"30","0.1","0.1","1000.0","1000.0","0.1","1000.0"
"31","0.1","10.0","10.0","10.0","1000.0","0.1"
"32","0.1","10.0","10.0","10.0","1000.0","10.0"
"33","0.1","10.0","10.0","10.0","1000.0","1000.0"
"34","0.1","10.0","1000.0","10.0","10.0","0.1"
"35","0.1","10.0","1000.0","10.0","10.0","10.0"
"36","0.1","10.0","1000.0","10.0","10.0","1000.0"
"37","0.1","1000.0","1000.0","0.1","1000.0","0.1"
"38","0.1","1000.0","1000.0","1000.0","1000.0","0.1"
"39","0.1","1000.0","1000.0","1000.0","1000.0","10.0"
"40","0.1","1000.0","1000.0","1000.0","1000.0","1000.0"
"41","10.0","10.0","0.1","0.1","1000.0","0.1"
"42","10.0","10.0","0.1","0.1","1000.0","10.0"
"43","10.0","10.0","0.1","0.1","1000.0","1000.0"
"44","10.0","10.0","10.0","0.1","10.0","0.1"
"45","10.0","10.0","10.0","0.1","10.0","10.0"
"46","10.0","10.0","10.0","0.1","10.0","1000.0"
"47","10.0","10.0","10.0","1000.0","1000.0","0.1"
"48","10.0","10.0","10.0","1000.0","1000.0","10.0"
"49","10.0","10.0","10.0","1000.0","1000.0","1000.0"
"50","10.0","10.0","1000.0","0.1","0.1","0.1"
"51","10.0","10.0","1000.0","0.1","0.1","10.0"
"52","10.0","10.0","1000.0","0.1","0.1","1000.0"
"53","10.0","10.0","1000.0","1000.0","10.0","0.1"
"54","10.0","10.0","1000.0","1000.0","10.0","10.0"
"55","10.0","10.0","1000.0","1000.0","10.0","1000.0"
"56","10.0","1000.0","10.0","10.0","1000.0","0.1"
"57","10.0","1000.0","10.0","10.0","1000.0","10.0"
"58","10.0","1000.0","10.0","10.0","1000.0","1000.0"
"59","10.0","1000.0","1000.0","10.0","10.0","0.1"
"60","10.0","1000.0","1000.0","10.0","10.0","10.0"
"61","10.0","1000.0","1000.0","10.0","10.0","1000.0"
"62","1000.0","10.0","0.1","10.0","1000.0","0.1"
"63","1000.0","10.0","0.1","10.0","1000.0","10.0"
"64","1000.0","10.0","0.1","10.0","1000.0","1000.0"
"65","1000.0","10.0","0.1","1000.0","1000.0","0.1"
"66","1000.0","10.0","0.1","1000.0","1000.0","10.0"
"67","1000.0","10.0","0.1","1000.0","1000.0","1000.0"
"68","1000.0","10.0","10.0","10.0","10.0","0.1"
"69","1000.0","10.0","10.0","10.0","10.0","10.0"
"70","1000.0","10.0","10.0","10.0","10.0","1000.0"
"71","1000.0","10.0","10.0","1000.0","10.0","0.1"
"72","1000.0","10.0","10.0","1000.0","10.0","10.0"
"73","1000.0","10.0","10.0","1000.0","10.0","1000.0"
"74","1000.0","10.0","1000.0","10.0","0.1","0.1"
"75","1000.0","10.0","1000.0","10.0","0.1","10.0"
"76","1000.0","10.0","1000.0","10.0","0.1","1000.0"
"77","1000.0","10.0","1000.0","1000.0","0.1","0.1"
"78","1000.0","10.0","1000.0","1000.0","0.1","10.0"
