"","k_cat_AA","k_a_NH4","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a"
"79","1000.0","10.0","1000.0","1000.0","0.1","1000.0"
"80","1000.0","1000.0","0.1","0.1","1000.0","0.1"
"81","1000.0","1000.0","0.1","0.1","1000.0","10.0"
"82","1000.0","1000.0","0.1","0.1","1000.0","1000.0"
"83","1000.0","1000.0","10.0","0.1","10.0","0.1"
"84","1000.0","1000.0","10.0","0.1","10.0","10.0"
"85","1000.0","1000.0","10.0","0.1","10.0","1000.0"
"86","1000.0","1000.0","10.0","1000.0","1000.0","0.1"
"87","1000.0","1000.0","10.0","1000.0","1000.0","10.0"
"88","1000.0","1000.0","10.0","1000.0","1000.0","1000.0"
"89","1000.0","1000.0","1000.0","0.1","0.1","0.1"
"90","1000.0","1000.0","1000.0","0.1","0.1","10.0"
"91","1000.0","1000.0","1000.0","0.1","0.1","1000.0"
"92","1000.0","1000.0","1000.0","1000.0","10.0","0.1"
"93","1000.0","1000.0","1000.0","1000.0","10.0","10.0"
"94","1000.0","1000.0","1000.0","1000.0","10.0","1000.0"
