"","AminoAcid","ATP","k_cat_AA","k_a_NH4","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a"
"1",183.02037532805,2039.55139870765,"0.1","0.1","0.1","0.1","0.1","0.1"
"2",183.240921613666,2042.00961953143,"0.1","0.1","0.1","0.1","0.1","10.0"
"3",202.925296477128,2261.41744496228,"0.1","0.1","0.1","0.1","0.1","1000.0"
"4",13427.24411383,1518.79780636704,"0.1","0.1","0.1","0.1","10.0","0.1"
"5",13427.5612299544,1518.83422261369,"0.1","0.1","0.1","0.1","10.0","10.0"
"6",13459.1826327933,1522.46561953543,"0.1","0.1","0.1","0.1","10.0","1000.0"
"7",454302.447799734,976.69759643008,"0.1","0.1","0.1","0.1","1000.0","0.1"
"8",265348.757895174,408.73445931428,"0.1","0.1","0.1","0.1","1000.0","10.0"
"9",890320.06744357,3534761.15737836,"0.1","0.1","0.1","0.1","1000.0","1000.0"
"10",183.048141357994,2039.44902412667,"0.1","0.1","0.1","10.0","0.1","0.1"
"11",183.26873458112,2041.90677491077,"0.1","0.1","0.1","10.0","0.1","10.0"
"12",202.957603098154,2261.27122083881,"0.1","0.1","0.1","10.0","0.1","1000.0"
"13",13628.2637310167,1518.70485971129,"0.1","0.1","0.1","10.0","10.0","0.1"
"14",13628.5856171379,1518.74073691128,"0.1","0.1","0.1","10.0","10.0","10.0"
"15",13660.6840063574,1522.3184023673,"0.1","0.1","0.1","10.0","10.0","1000.0"
"16",4445225.83918259,5190.24245609832,"0.1","0.1","0.1","10.0","1000.0","0.1"
"17",4385430.68352962,5114.09810815038,"0.1","0.1","0.1","10.0","1000.0","10.0"
"18",193968.262885643,217.193758518778,"0.1","0.1","0.1","10.0","1000.0","1000.0"
"19",183.048419060348,2039.4480004273,"0.1","0.1","0.1","1000.0","0.1","0.1"
"20",183.269012752911,2041.90574651104,"0.1","0.1","0.1","1000.0","0.1","10.0"
"21",202.957926213749,2261.2697586645,"0.1","0.1","0.1","1000.0","0.1","1000.0"
"22",13630.3043135112,1518.70392875614,"0.1","0.1","0.1","1000.0","10.0","0.1"
"23",13630.6262480533,1518.73980056591,"0.1","0.1","0.1","1000.0","10.0","10.0"
"24",13662.7294791839,1522.3169287228,"0.1","0.1","0.1","1000.0","10.0","1000.0"
"25",2994177.03395025,3450.02321235165,"0.1","0.1","0.1","1000.0","1000.0","0.1"
"26",2987620.83465038,3442.4109634839,"0.1","0.1","0.1","1000.0","1000.0","10.0"
"27",5033702.65465587,5637.64582704359,"0.1","0.1","0.1","1000.0","1000.0","1000.0"
"28",13427.2441138295,1518.79780636697,"0.1","0.1","10.0","0.1","0.1","0.1"
"29",13427.5612299541,1518.83422261365,"0.1","0.1","10.0","0.1","0.1","10.0"
"30",13459.1826327935,1522.46561953544,"0.1","0.1","10.0","0.1","0.1","1000.0"
"31",462155.891092564,1010.43569423191,"0.1","0.1","10.0","0.1","10.0","0.1"
"32",266916.867353165,412.096446726665,"0.1","0.1","10.0","0.1","10.0","10.0"
"33",890062.165486263,3524534.05943124,"0.1","0.1","10.0","0.1","10.0","1000.0"
