"","k_cat_AA","k_a_NH4","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a"
"1","0.1","0.1","0.1","0.1","0.1","0.1"
"2","0.1","0.1","0.1","0.1","0.1","10.0"
"3","0.1","0.1","0.1","0.1","0.1","1000.0"
"4","0.1","0.1","0.1","0.1","10.0","0.1"
"5","0.1","0.1","0.1","0.1","10.0","10.0"
"6","0.1","0.1","0.1","0.1","10.0","1000.0"
"7","0.1","0.1","0.1","10.0","0.1","0.1"
"8","0.1","0.1","0.1","10.0","0.1","10.0"
"9","0.1","0.1","0.1","10.0","0.1","1000.0"
"10","0.1","0.1","0.1","10.0","10.0","0.1"
"11","0.1","0.1","0.1","10.0","10.0","10.0"
"12","0.1","0.1","0.1","10.0","10.0","1000.0"
"13","0.1","0.1","0.1","1000.0","0.1","0.1"
"14","0.1","0.1","0.1","1000.0","0.1","10.0"
"15","0.1","0.1","0.1","1000.0","0.1","1000.0"
"16","0.1","0.1","0.1","1000.0","10.0","0.1"
"17","0.1","0.1","0.1","1000.0","10.0","10.0"
"18","0.1","0.1","0.1","1000.0","10.0","1000.0"
"19","0.1","0.1","10.0","0.1","0.1","0.1"
"20","0.1","0.1","10.0","0.1","0.1","10.0"
"21","0.1","0.1","10.0","0.1","0.1","1000.0"
"22","0.1","0.1","10.0","0.1","1000.0","0.1"
"23","0.1","0.1","10.0","0.1","1000.0","10.0"
"24","0.1","0.1","10.0","0.1","1000.0","1000.0"
"25","0.1","0.1","10.0","10.0","0.1","0.1"
"26","0.1","0.1","10.0","10.0","0.1","10.0"
"27","0.1","0.1","10.0","10.0","0.1","1000.0"
"28","0.1","0.1","10.0","10.0","1000.0","0.1"
"29","0.1","0.1","10.0","10.0","1000.0","10.0"
"30","0.1","0.1","10.0","10.0","1000.0","1000.0"
"31","0.1","0.1","10.0","1000.0","0.1","0.1"
"32","0.1","0.1","10.0","1000.0","0.1","10.0"
"33","0.1","0.1","10.0","1000.0","0.1","1000.0"
"34","0.1","0.1","10.0","1000.0","1000.0","0.1"
"35","0.1","0.1","10.0","1000.0","1000.0","10.0"
"36","0.1","0.1","10.0","1000.0","1000.0","1000.0"
"37","0.1","0.1","1000.0","0.1","10.0","0.1"
"38","0.1","0.1","1000.0","0.1","10.0","10.0"
"39","0.1","0.1","1000.0","0.1","10.0","1000.0"
"40","0.1","0.1","1000.0","0.1","1000.0","0.1"
"41","0.1","0.1","1000.0","0.1","1000.0","10.0"
"42","0.1","0.1","1000.0","0.1","1000.0","1000.0"
"43","0.1","0.1","1000.0","10.0","10.0","0.1"
"44","0.1","0.1","1000.0","10.0","10.0","10.0"
"45","0.1","0.1","1000.0","10.0","10.0","1000.0"
"46","0.1","0.1","1000.0","1000.0","10.0","0.1"
"47","0.1","0.1","1000.0","1000.0","10.0","10.0"
"48","0.1","0.1","1000.0","1000.0","10.0","1000.0"
"49","0.1","10.0","0.1","0.1","0.1","0.1"
"50","0.1","10.0","0.1","0.1","0.1","10.0"
"51","0.1","10.0","0.1","0.1","0.1","1000.0"
"52","0.1","10.0","0.1","0.1","10.0","0.1"
"53","0.1","10.0","0.1","0.1","10.0","10.0"
"54","0.1","10.0","0.1","0.1","10.0","1000.0"
"55","0.1","10.0","0.1","0.1","1000.0","0.1"
"56","0.1","10.0","0.1","0.1","1000.0","10.0"
"57","0.1","10.0","0.1","0.1","1000.0","1000.0"
"58","0.1","10.0","0.1","10.0","0.1","0.1"
"59","0.1","10.0","0.1","10.0","0.1","10.0"
"60","0.1","10.0","0.1","10.0","0.1","1000.0"
"61","0.1","10.0","0.1","10.0","10.0","0.1"
"62","0.1","10.0","0.1","10.0","10.0","10.0"
"63","0.1","10.0","0.1","10.0","10.0","1000.0"
"64","0.1","10.0","0.1","10.0","1000.0","0.1"
"65","0.1","10.0","0.1","10.0","1000.0","10.0"
"66","0.1","10.0","0.1","10.0","1000.0","1000.0"
"67","0.1","10.0","0.1","1000.0","0.1","0.1"
"68","0.1","10.0","0.1","1000.0","0.1","10.0"
"69","0.1","10.0","0.1","1000.0","0.1","1000.0"
