,value6,value3,value17,value7,value14,timestamp,value15,value19,value10,value5,value13,value20,value22,value24,value11,value2,value12,value1,value16,value8,value18,value21,value25,value4,value23,value9
0,0.0,0.0,0.0,0.0,10.0,0.0,1000.0,0.0,0.0,0.0,0.0,1.0,20000.0,0.0,0.0,0.0,0.0,100000000000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,6.798303914452709e-11,9.999999958745063,1.8163888938589466e-06,1000.0,0.0,0.0,6.798303914452709e-11,0.0011838279690550373,1.0,20000.000044291148,0.001627606526415807,0.0,1.0751492774999758e-08,0.0017161030889921184,100000000000.0,0.0,7.485492963179851e-06,0.0,999.9999114177033,1.4781877257982138e-08,1.5585600580864758e-08,1.0,7.485492963179851e-06
2,0.0,0.0,0.0,8.225442683502283e-09,9.999995008493018,1.998027783244841e-05,1000.0,0.0,3.657450349480028e-12,8.225442683502283e-09,0.01302091153105889,1.0,20000.000487199624,0.017902029613311797,0.0,1.3008436272126913e-06,0.018875402512845568,100000000000.0,0.0,8.23328700303805e-05,0.0,999.9990255920621,1.788484361539888e-06,1.8857282074258345e-06,1.0000000000034688,8.23328700303805e-05
3,0.0,0.0,0.0,2.7946883475353973e-07,9.999830415079554,0.00011648255925127126,1000.0,0.0,9.072775888861292e-10,2.7946883475353973e-07,0.07587327877388365,1.0,20000.002839609042,0.10431578720756904,0.0,4.419613087320576e-05,0.10998766701419589,100000000000.0,0.0,0.000479756657606851,0.0,999.9943186273374,6.076302830829335e-05,6.406684839609587e-05,1.0000000008604837,0.000479756657606851
4,2.112456383876959e-09,2.112456383876959e-09,0.0,1.8427913585626392e-05,9.988816913134404,0.0009476580699043092,1000.0,0.0,4.877155911328241e-07,1.8427913585626392e-05,0.6146918704223762,1.0,20000.022720220833,0.8451260595150628,0.0,0.0029146680197862334,0.8910774304372747,100000000000.0,0.0,0.0038868024788456064,0.0,999.9533975216252,0.004006857333068901,0.0042247190182828995,1.000000462561042,0.0038868024788456064
5,6.08012150071073e-08,6.08012150071073e-08,0.0,0.00017117996884942965,9.896112510404926,0.002905799255898599,1000.0,0.0,1.3942526561470423e-05,0.00017117996884942965,1.8664714438977072,1.0,20000.059778475123,2.5662193606513966,0.0,0.027080817135111297,2.705750376623998,100000000000.0,0.0,0.011802248618640165,0.0,999.8472212707256,0.0372204673473546,0.0392442263850983,1.0000132234230903,0.011802248618640165
6,5.675408123260136e-07,5.675408123260136e-07,0.0,0.0007462635431339808,9.547058898531185,0.006158783368574406,1000.0,0.0,0.00013011620861240193,0.0007462635431339808,3.8944870454934737,1.0,20000.046808883573,5.3548012836922725,0.0,0.11810222229506619,5.645953659401614,100000000000.0,0.0,0.024627160553155482,0.0,999.5963237053173,0.16226363904868749,0.17108627157926265,1.000123405300235,0.024627160553155482
7,2.7095089664867316e-06,2.7095089664867316e-06,0.0,0.002047513261370255,8.757121327790665,0.010501453306668792,1000.0,0.0,0.0006211777920035227,0.002047513261370255,6.5159151476852974,1.0,19999.76257371531,8.96010015488575,4.42676961281542e-06,0.3241929255759196,9.447280595107388,100000000000.0,0.0,0.041208219240444155,0.0,998.9944874411981,0.4452005876391616,0.4694071271335568,1.0005891397595954,0.041208219240444155
8,8.539747273829202e-06,8.539747273829202e-06,0.0,0.004171479041124205,7.467457150017289,0.01570915174765839,1000.0,0.0,0.001957801827267391,0.004171479041124205,9.567539322094182,1.0,19998.827571829097,13.158970045463244,2.4420529768652124e-05,0.6608872989996807,13.874452317847942,100000000000.0,0.0,0.0605191586555088,0.0,997.6785792692888,0.9070246232676092,0.9563415558483721,1.0018568257133669,0.0605191586555088
9,2.2750784563641516e-05,2.2750784563641516e-05,0.0,0.007325924739203472,5.551433186816904,0.02251479440271949,1000.0,0.0,0.005215784289426612,0.007325924739203472,13.489683589282,1.0,19996.40460947099,18.560559503163503,9.85093990465653e-05,1.1616260545927872,19.569738127643557,100000000000.0,0.0,0.08536150182841235,0.0,994.7574748160076,1.5929108347300522,1.6795209158991176,1.0049467735890905,0.08536150182841235
10,4.865189073406504e-05,4.865189073406504e-05,0.0,0.010716389316655119,3.490802390795199,0.030387548724558094,1000.0,0.0,0.011153799101665677,0.010716389316655119,18.057043355734944,1.0,19991.877127445376,24.860614464783776,0.00029799645428749854,1.7011454470950853,26.212340995712072,100000000000.0,0.0,0.1143359599181389,0.0,989.6526201527413,2.3301157595459805,2.4568093011225227,1.0105785277280972,0.1143359599181389
11,9.299471269301437e-05,9.299471269301437e-05,0.0,0.013774168753734967,1.6297970009587621,0.04032973621330825,1000.0,0.0,0.021319709864503034,0.013774168753734967,23.9983825278341,1.0,19984.037544262585,33.07535052671085,0.0008028016627406077,2.1904289249601057,34.87373040545601,100000000000.0,0.0,0.1521161899618389,0.0,981.0810453645572,2.9949833634867877,3.157827225526028,1.0202201186715962,0.1521161899618389
12,0.00014702790226055646,0.00014702790226055646,0.0,0.0154134893815044,0.6281615174776773,0.05061123219278697,1000.0,0.0,0.03370720708395173,0.0154134893815044,30.35605159106474,1.0,19974.43599151726,41.89239349639542,0.0016951664048075739,2.456855280930571,44.170175480158555,100000000000.0,0.0,0.19266647778397353,0.0,970.7180837539131,3.35142868611542,3.533653267810843,1.0319687148629917,0.19266647778397353
13,0.0001966949922361976,0.0001966949922361976,0.0,0.015999892579953497,0.26580934011607765,0.05951342688063445,1000.0,0.0,0.04509374458137181,0.015999892579953497,35.9685307381898,1.0,19965.592495697816,49.69993727089017,0.0028051214861283345,2.5564071281952194,52.40223265822659,100000000000.0,0.0,0.22857399783642945,0.0,961.2112121232714,3.478933137542816,3.6680904179472757,1.042767977055315,0.22857399783642945
14,0.00024583734623602265,0.00024583734623602265,0.0,0.01620849127276734,0.1326807386769799,0.0681934489080996,1000.0,0.0,0.05635998258439335,0.01620849127276734,41.47638661598944,1.0,19956.834725393885,57.384516270193394,0.004199322085429056,2.596250695572765,60.50463919462013,100000000000.0,0.0,0.26391599302482965,0.0,951.8028454098113,3.524289748837823,3.7159131684009634,1.0534531442964408,0.26391599302482965
